Script,Text,Speech_duration,Pause_duration
Hmong part B passage,"Yes, ",0.5,1.5
Hmong part B passage,the word is bad.,1,1.5
Hmong part B passage,I don't like to brag about my food.,1.25,1.5
Hmong part B passage,We should contract with her to do it.,1.5,1.5
Hmong part B passage,I bet the police found the kid.,1.25,1.5
Hmong part B passage,The mouse sat in the pot of oil.,1.25,1.5
Hmong part B passage,Put the peel in the tin.,1,1.5
Hmong part B passage,We should moderate the discussion.,1.25,1.5
Hmong part B passage,Tom put his badge with his pen.,1.25,1.5
Hmong part B passage,The moth sat on the plant.,1.25,1.5
Hmong part B passage,We should graduate Bob and John.,1.25,1.5
Hmong part B passage,Let's sign the contract.,1,1.5
Hmong part B passage,Thank you.,0.75,1.5
Hmong part B passage,That's quite appropriate.,1,1.5
Hmong part B passage,The banker made a huge profit.,1.25,1.5
Hmong part B passage,The duck got lost in Lansing.,1.5,1.5
Hmong part B passage,The police found the body in a sack.,1.5,1.5
Hmong part B passage,That's my present.,1,1.5
Hmong part B passage,We should alternate with them.,1.25,1.5
Hmong part B passage,I just heard the most awful kind of jazz.,1.5,1.5
Hmong part B passage,The dog used the alternate route.,1.25,1.5
Hmong part B passage,That's not the mattress I have.,1,1.5
Hmong part B passage,The cup smashed the pill into dust.,1.25,1.5
Hmong part B passage,Throw the toy into the pool.,1,1.5
Hmong part B passage,He's a pervert.,0.75,1.5
Hmong part B passage,She cleans up the chalk at night.,1.25,1.5
Hmong part B passage,Let's listen to the record.,1,1.5
Hmong part B passage,The bad meat is finally gone.,1.25,1.5
Hmong part B passage,We should appropriate the funds.,1.25,1.5
Hmong part B passage,You'll need to step over the rock.,1.25,1.5
Hmong part B passage,You can laugh at how they sag.,1.25,1.5
Hmong part B passage,Change the picture's contrast.,1.25,1.5
Hmong part B passage,She's our affiliate in London.,1.25,1.5
Hmong part B passage,I'm a graduate of U W Milwaukee.,1.75,1.5
Hmong part B passage,You should bend the bottle at the neck.,1.5,1.5
Hmong part B passage,He fed the machine some cash.,1.25,1.5
Hmong part B passage,Her pal is way too loud.,1.25,1.5
Hmong part B passage,We should project our voices.,1.5,1.5
Hmong part B passage,It is really perfect.,1.25,1.5
Hmong part B passage,That's a good way to start a conflict.,1.5,1.5
Hmong part B passage,The man with the tall umbrella is sad.,1.5,1.5
Hmong part B passage,In the past I've really mashed my foot.,1.75,1.5
Hmong part B passage,Sam is the girl's father.,1.25,1.5
Hmong part B passage,Sorry. ,0.5,1.5
Hmong part B passage,It tipped over onto the road.,1.25,1.5
Hmong part B passage,We should present the gift.,1.25,1.5
Hmong part B passage,It is possible to sleep at night.,1.25,1.5
Hmong part B passage,I didn't know she was a convert.,1.5,1.5
Hmong part B passage,We should estimate the cost. ,1.25,1.5
Hmong part B passage,He has to ask to watch T V.,1.75,1.5
Hmong part B passage,Please mop the whole entire house. ,1.75,1.5
Hmong part B passage,Put the doll in the car with the bead. ,1.75,1.5
Hmong part B passage,I like to eat produce. ,1.25,1.5
Hmong part B passage,Pat took a gamble to have it caught. ,1.5,1.5
Hmong part B passage,Stop. ,0.5,1.5
Hmong part B passage,You need to flip the black tab.,1.25,1.5
Hmong part B passage,Put the rag in the mesh sack.,1.25,1.5
Hmong part B passage,Thank you for giving them a bath.,1.25,1.5
Hmong part B passage,Let's call them ,0.75,1.5
Hmong part B passage,“the powder puff gang”.,1.5,1.5
Hmong part B passage,Her biting the child is really too bad. ,1.5,1.5
Hmong part B passage,The word is bid? ,1,1.5
Hmong part B passage,"Yes,",0.5,1.5
Hmong part B passage,the word is bid.,1,1.5
test script,blah blah blah,1,0.5
test script,one two three four five,1,0.5
